date,open,high,low,close,volume,date_str,daily_return,daily_volatility,sma_20,sma_50,volume_ma_20
2025-04-01,1.98,2.14,1.92,2.03,7826702.0,2025-04-01,0.025252525252525082,0.1108599900029742,1.95625,2.3042,9698073.35
2025-04-02,1.96,2.02,1.87,1.89,6741518.0,2025-04-02,-0.06896551724137923,0.11240367896718845,1.96625,2.2796,9848429.85
2025-04-03,1.73,2.05,1.72,1.98,9045889.0,2025-04-03,0.04761904761904767,0.11070186559995465,1.98725,2.2546,10008195.5
2025-04-04,1.88,1.93,1.73,1.89,5624162.0,2025-04-04,-0.045454545454545525,0.11154181005254794,2.0037499999999997,2.2234,10034771.95
2025-04-07,1.725,2.03,1.71,1.92,8077249.0,2025-04-07,0.015873015873015817,0.10911105351554959,2.02825,2.1956,10155552.55
2025-04-08,2.02,2.09,1.7,1.74,7466879.0,2025-04-08,-0.09375,0.1071676896851345,2.03275,2.173,10100290.65
2025-04-09,1.78,1.95,1.69,1.91,6686230.0,2025-04-09,0.09770114942528729,0.10889655741654017,2.0467500000000003,2.156,10090247.3
2025-04-10,1.92,1.95,1.775,1.79,3809317.0,2025-04-10,-0.06282722513089001,0.10969677476263022,2.0502499999999997,2.1404,9959826.5
2025-04-11,1.9,1.99,1.84,1.96,5258032.0,2025-04-11,0.0949720670391061,0.11123045376486827,2.0637499999999998,2.1312,9711808.55
2025-04-14,2.01,2.17,1.96,2.0,7113894.0,2025-04-14,0.020408163265306145,0.08360859947489122,2.0517499999999997,2.1216000000000004,9190929.45
2025-04-15,1.98,2.0699,1.93,2.0,3276935.0,2025-04-15,0.0,0.07609693064380353,2.0565,2.1144,8802623.05
2025-04-16,1.95,2.06,1.84,1.89,3481815.0,2025-04-16,-0.05500000000000005,0.07232588979317384,2.0445,2.1029999999999998,8190149.3
2025-04-17,1.9,1.94,1.87,1.92,1904869.0,2025-04-17,0.015873015873015817,0.07243556344519018,2.0335,2.0942,7495051.55
2025-04-21,1.85,1.859,1.76,1.82,3403334.0,2025-04-21,-0.05208333333333326,0.07183349632611019,2.0115000000000003,2.0736000000000003,7083070.35
2025-04-22,1.85,1.87,1.79,1.81,2625964.0,2025-04-22,-0.005494505494505475,0.06139696403806095,1.972,2.047,6400770.8
2025-04-23,1.88,2.0,1.88,2.0,5028341.0,2025-04-23,0.1049723756906078,0.06679183208259508,1.9469999999999998,2.0268,6229604.45
2025-04-24,1.995,2.24,1.99,2.2,7132761.0,2025-04-24,0.10000000000000009,0.06927511163916575,1.941,2.0166,5988451.2
2025-04-25,2.2,2.33,2.11,2.24,5901795.0,2025-04-25,0.0181818181818183,0.06811403855084841,1.9435000000000002,2.0086,5758764.4
2025-04-28,2.29,2.34,2.08,2.19,5215433.0,2025-04-28,-0.022321428571428714,0.06059822230396005,1.9579999999999997,1.9916,5634436.0
2025-04-29,2.19,2.2099,2.07,2.07,3130990.0,2025-04-29,-0.0547945205479452,0.061664021806218494,1.9625,1.9779999999999998,5437605.45
2025-04-30,2.0,2.01,1.9,1.97,4830073.0,2025-04-30,-0.048309178743961345,0.0625181180941998,1.9594999999999998,1.9662,5287774.0
2025-05-01,2.02,2.06,1.97,2.0,3538908.0,2025-05-01,0.015228426395939021,0.06040540527753838,1.9649999999999999,1.9552,5127643.5
2025-05-02,2.03,2.18,2.02,2.18,4938516.0,2025-05-02,0.09000000000000008,0.06269612206882273,1.975,1.9494,4922274.85
2025-05-05,2.179,2.4,2.05,2.07,11428163.0,2025-05-05,-0.05045871559633042,0.06292461157747131,1.984,1.9465000000000001,5212474.9
2025-05-06,2.03,2.11,2.0,2.11,3049607.0,2025-05-06,0.019323671497584627,0.06295665048113014,1.9934999999999998,1.9511,4961092.8
2025-05-07,2.125,2.21,2.055,2.07,3930245.0,2025-05-07,-0.018957345971563955,0.058765118611331095,2.01,1.9581,4784261.1
